stock,genotype,sex,age,plate,well,ws,fw,trichomes,area,cell.area,cell.number
25180,DGRP-313,male,5,25180,A1,697644.743,0.63,66,7847.265,118.8979545,5867.592472
25190,DGRP-380,male,5,25190,A1,780738.987,0.49,59,7814.3,132.4457627,5894.782672
25201,DGRP-712,male,5,25201,A1,873673.626,0.76,52,7852.779,151.0149808,5785.344087
28173,DGRP-338,male,5,28173,A1,846867.881,0.83,53,7887.462,148.8200377,5690.550103
28191,DGRP-385,male,5,28191,A1,976274.9577,0.8,54,7871.961,145.7770556,6697.041273
28196,DGRP-426,male,5,28196,A1,872422.0157,0.93,49,7929.388,161.8242449,5391.170008
28247,DGRP-843,male,5,28247,A1,828229.9593,0.8,52,7916.015,152.2310577,5440.610949
28248,DGRP-849,male,5,28248,A1,925211.2997,0.95,56,7887.711,140.8519821,6568.677881
28258,DGRP-892,male,5,28258,A1,885897.7717,0.83,53,7830.756,147.7501132,5995.91941
29652,DGRP-57,male,5,29652,A1,789867.677,0.65,59,7853.883,133.116661,5933.65001
25192,DGRP-399,male,5,25192,A10,912347.8893,0.63,53,7889.68,148.8618868,6128.821211
25198,DGRP-555,male,5,25198,A10,837058.6567,0.79,56,7867.144,140.4847143,5958.361099
28135,DGRP-88,male,5,28135,A10,829718.3807,0.9,52,7860.509,151.1636346,5488.875567
28180,DGRP-361,male,5,28180,A10,764438.2383,0.65,51,7860.509,154.1276275,4959.774253
28191,DGRP-385,male,5,28191,A10,953187.9537,0.68,57,7871.961,138.1045789,6901.928676
28196,DGRP-426,male,5,28196,A10,901390.4397,0.98,46,7797.494,169.5107391,5317.600786
28197,DGRP-440,male,5,28197,A10,878999.3757,0.86,52,7810.121,150.1946346,5852.401971
28247,DGRP-843,male,5,28247,A10,841220.966,0.76,54,7889.68,146.1051852,5757.639367
28258,DGRP-892,male,5,28258,A10,845976.2257,0.72,56,7860.509,140.3662321,6026.921238
29652,DGRP-57,male,5,29652,A10,760187.7873,0.61,58,7887.462,135.9907241,5589.997348
25180,DGRP-313,male,5,25180,A11,681789.058,0.73,62,7847.265,126.5687903,5386.707547
25192,DGRP-399,male,5,25192,A11,998369.7993,0.74,54,7889.68,146.1051852,6833.226337
25201,DGRP-712,male,5,25201,A11,820567.5787,0.78,52,7847.265,150.9089423,5437.501358
28173,DGRP-338,male,5,28173,A11,846072.399,0.92,51,7916.372,155.2229804,5450.690335
28191,DGRP-385,male,5,28191,A11,1000457.628,0.91,53,7845.061,148.0200189,6758.934604
28196,DGRP-426,male,5,28196,A11,849097.6373,0.89,46,7771.629,168.9484565,5025.779192
28197,DGRP-440,male,5,28197,A11,824560.6823,0.83,53,7836.253,147.8538302,5576.863861
28247,DGRP-843,male,5,28247,A11,822288.4853,0.83,53,7862.72,148.3532075,5542.775238
