"stock","genotype","sex","age","plate","well","ws","fw","trichomes","area","iod","cell.area","cell.number"
"25180","DGRP-313","male",5,"25180","A1",697644.743,0.63,66,7847.265,398.197333333333,118.897954545455,5867.59247177201
"25190","DGRP-380","male",5,"25190","A1",780738.987,0.49,59,7814.3,408.733333333333,132.445762711864,5894.7826718964
"25201","DGRP-712","male",5,"25201","A1",873673.626,0.76,52,7852.779,434.326,151.014980769231,5785.34408672395
"28191","DGRP-385","male",5,"28191","A1",976274.957666667,0.8,54,7871.961,432.227,145.777055555556,6697.04127268923
"28196","DGRP-426","male",5,"28196","A1",872422.015666667,0.93,49,7929.388,434.399333333333,161.824244897959,5391.17000803425
"28247","DGRP-843","male",5,"28247","A1",828229.959333333,0.8,52,7916.015,465.144666666667,152.231057692308,5440.61094949079
"28248","DGRP-849","male",5,"28248","A1",925211.299666667,0.95,56,7887.711,424.546333333333,140.851982142857,6568.67788149608
"25198","DGRP-555","male",5,"25198","A10",837058.656666667,0.79,56,7867.144,434.595666666667,140.484714285714,5958.36109944515
"28135","DGRP-88","male",5,"28135","A10",829718.380666667,0.9,52,7860.509,432.203666666667,151.163634615385,5488.87556704873
"28191","DGRP-385","male",5,"28191","A10",953187.953666667,0.68,57,7871.961,427.563666666667,138.104578947368,6901.92867558668
"28196","DGRP-426","male",5,"28196","A10",901390.439666667,0.98,46,7797.494,427.95,169.510739130435,5317.60078618421
"28197","DGRP-440","male",5,"28197","A10",878999.375666667,0.86,52,7810.121,428.45,150.194634615385,5852.40197106635
"28247","DGRP-843","male",5,"28247","A10",841220.966,0.76,54,7889.68,498.088666666667,146.105185185185,5757.63936737612
"25180","DGRP-313","male",5,"25180","A11",681789.058,0.73,62,7847.265,405.003,126.568790322581,5386.70754664205
"25201","DGRP-712","male",5,"25201","A11",820567.578666667,0.78,52,7847.265,431.180333333333,150.908942307692,5437.50135756428
"28191","DGRP-385","male",5,"28191","A11",1000457.62766667,0.91,53,7845.061,452.234666666667,148.020018867925,6758.93460437507
"28196","DGRP-426","male",5,"28196","A11",849097.637333333,0.89,46,7771.629,438.210333333333,168.948456521739,5025.77919215307
"28197","DGRP-440","male",5,"28197","A11",824560.682333333,0.83,53,7836.253,452.427,147.853830188679,5576.86386129527
"28247","DGRP-843","male",5,"28247","A11",822288.485333333,0.83,53,7862.72,480.358333333333,148.35320754717,5542.7752384247
"28248","DGRP-849","male",5,"28248","A11",904337.436,0.86,59,7887.711,440.017,133.690016949153,6764.43504636516
"25180","DGRP-313","male",5,"25180","A12",690488.112,0.7,62,7874.172,397.860333333333,127.002774193548,5436.79550611798
"25198","DGRP-555","male",5,"25198","A12",833555.553666667,0.73,60,7867.144,432.190666666667,131.119066666667,6357.24135976156
"25201","DGRP-712","male",5,"25201","A12",893211.462666667,0.9,50,7847.265,471.866,156.9453,5691.22785242162
"28135","DGRP-88","male",5,"28135","A12",875101.140666667,0.9,52,7887.462,463.543333333333,151.681961538462,5769.31582233508
"28196","DGRP-426","male",5,"28196","A12",906759.946333333,0.87,48,7797.494,427.036,162.447791666667,5581.85455788744
"28197","DGRP-440","male",5,"28197","A12",916515.937666667,0.98,52,7836.253,441.672333333333,150.697173076923,6081.83895525919
"28247","DGRP-843","male",5,"28247","A12",817389.607333333,0.67,53,7916.015,481.660666666667,149.358773584906,5472.65880479846
"25180","DGRP-313","male",5,"25180","A2",667134.234333333,0.59,60,7847.265,387.166,130.78775,5100.89235676379
"25190","DGRP-380","male",5,"25190","A2",806605.083666667,0.49,56,7814.3,421.946333333333,139.541071428571,5780.41343246783
"25201","DGRP-712","male",5,"25201","A2",908487.544333333,0.78,51,7852.779,446.925,153.976058823529,5900.18702436424
"28135","DGRP-88","male",5,"28135","A2",672539.636333333,0.44,53,7860.509,389.147666666667,148.311490566038,4534.6428234694
"28191","DGRP-385","male",5,"28191","A2",990495.822333333,0.84,54,7845.061,434.185666666667,145.278907407407,6817.89146139208
"28196","DGRP-426","male",5,"28196","A2",889273.3,0.92,48,7823.531,436.727666666667,162.990229166667,5455.99146983632
"28197","DGRP-440","male",5,"28197","A2",794886.185,0.68,53,7836.253,445.785,147.853830188679,5376.16228125866
"28247","DGRP-843","male",5,"28247","A2",834718.556333333,0.8,51,7889.68,474.540333333333,154.699607843137,5395.73802397562
