"stock","genotype","sex","age","plate","well","ws","fw","iod","cell.area","cell.number","fresh.mass.z","iod.z","wing.area.z","cell.number.z","cell.area.z"
"28197","DGRP-440","female",5,"28197","B1",1187411.47833333,1.35,488.617,160.350918367347,7405.08062207102,0.843785730514217,0.503093595953812,1.33805497697074,1.94984741596805,-0.441561889281468
"28248","DGRP-849","female",5,"28248","B1",1084972.699,1.54,477.687333333333,153.759921568627,7056.27765630555,1.76767608148671,0.0940761412677806,0.242086753827335,1.27876759077383,-0.900884341788811
"25180","DGRP-313","female",5,"25180","B10",874191.674333333,1.07,425.040666666667,151.383865384615,5774.66873442759,-0.517736891971568,-1.876103394342,-2.01300947613242,-1.18698521431991,-1.0664702140119
"28191","DGRP-385","female",5,"28191","B10",1137677.98233333,1.17,470.164,154.041,7385.55308218807,-0.0314788125123598,-0.187467179732038,0.805968089597069,1.9122773855001,-0.881296161368174
"28197","DGRP-440","female",5,"28197","B10",1136139.89566667,1.3,473.111,163.6225625,6943.66277063206,0.600656690784612,-0.0771825319270094,0.789512464861297,1.06210206550749,-0.213563051983706
"28247","DGRP-843","female",5,"28247","B10",1053257.602,1.47,512.714333333333,161.143224489796,6536.15816200014,1.42729542586527,1.40488047064231,-0.0972255528217675,0.278083154067305,-0.38634657020097
"25180","DGRP-313","female",5,"25180","B11",873463.8,1.13,424.211,153.824725490196,5678.30559889847,-0.225982044296043,-1.907151747287,-2.02079683112597,-1.37238316815936,-0.896368196948178
"28191","DGRP-385","female",5,"28191","B11",1137080.81466667,1.27,477.355333333333,157.12182,7236.93764918626,0.45477926694685,0.08165181039867,0.799579134254109,1.62634857012678,-0.666595738754026
"28197","DGRP-440","female",5,"28197","B11",1133615.519,1.48,474.732333333333,164.731625,6881.59009540518,1.47592123381119,-0.0165078880039753,0.762504757156069,0.942677278080073,-0.136273178685199
"28247","DGRP-843","female",5,"28247","B11",1089853.23466667,1.65,505.691,161.143224489796,6763.25820162348,2.30255996889184,1.14204849131284,0.294302448287958,0.715012509176361,-0.38634657020097
"25180","DGRP-313","female",5,"25180","B12",859507.675666667,1.09,437.277,154.86737254902,5549.95969467106,-0.420485276079726,-1.41818696675748,-2.17011009790945,-1.61931440277288,-0.823706774285735
"28247","DGRP-843","female",5,"28247","B12",1057580.11533333,1.15,538.709666666667,171.652565217391,6161.16697116614,-0.128730428404202,2.37769559831149,-0.0509800070599596,-0.443381533717089,0.346042824703862
"25180","DGRP-313","female",5,"25180","B2",878655.451666667,1.04,439.789,150.363442307692,5843.54440269233,-0.663614315809331,-1.32418118620566,-1.9652525803127,-1.05447180143134,-1.13758286124887
"28191","DGRP-385","female",5,"28191","B2",1169715.396,1.13,486.123666666667,154.041,7593.53286462695,-0.225982044296043,0.409786372157691,1.14872878587712,2.31242030210839,-0.881296161368174
"28247","DGRP-843","female",5,"28247","B2",1049250.636,1.56,515.297666666667,167.441489361702,6266.37185323549,1.86492769737856,1.50155573593913,-0.140095132445772,-0.240972492516019,0.0525755770630864
"28248","DGRP-849","female",5,"28248","B2",1051115.03233333,1.29,473.394666666667,157.3729,6679.1361939275,0.552030882838691,-0.0665669640860202,-0.120148397918353,0.553165885837833,-0.649098130289412
"25180","DGRP-313","female",5,"25180","B3",862601.442,1.13,394.455666666667,148.020018867925,5827.59986518907,-0.225982044296043,-3.02067616431716,-2.13701062510013,-1.08514831078099,-1.30089457789634
"28191","DGRP-385","female",5,"28191","B3",1150593.454,1.09,479.333666666667,151.596692307692,7589.83218225281,-0.420485276079726,0.15568635227437,0.944147660123967,2.30530037044356,-1.05163843859876
"28197","DGRP-440","female",5,"28197","B3",1160419.557,1.26,490.023,167.103893617021,6944.29993151158,0.406153459000929,0.555709888730829,1.04927480743497,1.06332793183781,0.0290487403586536
"28247","DGRP-843","female",5,"28247","B3",1070306.17733333,1.4,539.359333333333,167.441489361702,6392.12050378559,1.08691477024382,2.40200786825514,0.0851731143313935,0.00096175321029709,0.0525755770630864
"28248","DGRP-849","female",5,"28248","B3",1126389.89733333,1.17,481.440333333333,151.041519230769,7457.48522042059,-0.0314788125123598,0.234523471845409,0.685199543342863,2.05067129693084,-1.09032810376562
"25180","DGRP-313","female",5,"25180","B4",867812.280333333,1.14,428.263666666667,147.526396226415,5882.42038395261,-0.177356236350123,-1.75549008593494,-2.08126110068724,-0.97967631724975,-1.33529483164181
"28191","DGRP-385","female",5,"28191","B4",1254553.328,1.29,477.409666666667,157.12182,7984.59009703426,0.552030882838691,0.0836851095268728,2.05638971462218,3.06479526712313,-0.666595738754026
"28197","DGRP-440","female",5,"28197","B4",1068729.646,1.48,501.226,160.283326530612,6667.75309155993,1.47592123381119,0.974956210196637,0.0683061792179106,0.531265354315021,-0.446272322189678
"28247","DGRP-843","female",5,"28247","B4",1045874.16166667,1.35,528.232,163.953125,6379.10476952889,0.843785730514217,1.98559319649545,-0.176219231148156,-0.0240798821169487,-0.190526357710625
"28248","DGRP-849","female",5,"28248","B4",1123569.373,1.28,468.363666666667,160.035836734694,7020.73607964849,0.503405074892771,-0.254840483973058,0.655023421936009,1.21038733776249,-0.463519731572986
"28191","DGRP-385","female",5,"28191","B5",1193912.36433333,1.08,463.994,157.66056,7572.67616157987,-0.469111084025647,-0.418365135944126,1.40760641564118,2.27229302680198,-0.629051284459669
"28197","DGRP-440","female",5,"28197","B5",1031430.05433333,1.37,465.367666666667,167.103893617021,6172.38791992021,0.941037346406059,-0.36695884326178,-0.330753312401724,-0.421792977805962,0.0290487403586536
"28247","DGRP-843","female",5,"28247","B5",1035297.915,1.47,516.760666666667,156.85714,6600.26005191731,1.42729542586527,1.55630512166657,-0.289371987772475,0.40141205118786,-0.685041122728916
"28248","DGRP-849","female",5,"28248","B5",1076144.56133333,1.26,466.977333333333,160.825285714286,6691.38908445752,0.406153459000929,-0.306720797311067,0.147636601110048,0.576739847191529,-0.408503524994637
"25180","DGRP-313","female",5,"25180","B6",879939.724666667,1.07,403.210333333333,151.383865384615,5812.63876722289,-0.517736891971568,-2.69305304589718,-1.95151244784527,-1.1139327306205,-1.0664702140119
"28191","DGRP-385","female",5,"28191","B6",1176537.602,1.21,474.638333333333,157.12182,7488.05991427543,0.163024419271324,-0.0200256202380004,1.22171795107801,2.10949551065977,-0.666595738754026
"28248","DGRP-849","female",5,"28248","B6",1111022.26466667,1.24,469.213333333333,161.376734693878,6884.64955480858,0.308901843109087,-0.22304367736127,0.520784883414171,0.948563528149986,-0.370073389846025
"25180","DGRP-313","female",5,"25180","B7",860680.429,1.07,433.411,148.020018867925,5814.6218030682,-0.517736891971568,-1.56286306055261,-2.15756308792668,-1.11011746676371,-1.30089457789634
"28191","DGRP-385","female",5,"28191","B7",1142130.68433333,1.3,483.869333333333,157.66056,7244.23840898024,0.600656690784612,0.325423169679957,0.853606493050197,1.64039487445099,-0.629051284459669
"28247","DGRP-843","female",5,"28247","B7",1048770.089,1.27,515.808666666667,166.963085106383,6281.44891028913,0.45477926694685,1.52067872712623,-0.145236390914044,-0.211964973070775,0.0192358831512727
"28248","DGRP-849","female",5,"28248","B7",1073157.525,1.21,475.099,164.73875,6514.29930723646,0.163024419271324,-0.00278623744570733,0.115679007276835,0.236027787933693,-0.135776641882943
"25180","DGRP-313","female",5,"25180","B8",874444.691666667,1.11,416.349666666667,153.824725490196,5684.68228290386,-0.323233660187884,-2.20134393525598,-2.01030250364561,-1.36011474040025,-0.896368196948178
