"stock","sex","mean","sd"
"25180","female",423.103,14.584
"25180","male",399.428,7.311
"25182","female",498.238,10.569
"25182","male",465.047,13.66
"25190","female",463.165,46.354
"25190","male",423.084,11.599
"25192","female",445.73,10.839
"25192","male",442.518,8.684
"25198","female",471.281,14.836
"25198","male",432.918,15.842
"25201","female",482.546,18.47
"25201","male",448.495,12.389
"25203","female",476.511,8.161
"25203","male",446.179,11.27
"28135","female",461.127,23.51
"28135","male",413.508,29.464
"28141","female",479.679,14.079
"28141","male",437.257,10.763
"28153","female",489.307,3.306
"28153","male",453.091,9.309
"28173","female",475.885,8.259
"28173","male",451.887,9.668
"28180","female",465.893,8.527
"28180","male",445.784,13.086
"28191","female",475.581,7.042
"28191","male",444.508,14.215
"28196","female",483.699,11.314
"28196","male",433.414,6.286
"28197","female",481.779,11.83
"28197","male",438.611,8.059
"28198","female",508.922,21.188
"28198","male",450.004,17.167
"28247","female",523.161,11.688
"28247","male",472.966,11.781
"28248","female",475.099,6.442
"28248","male",434.571,9.935
"28258","female",482.654,5.27
"28258","male",450.923,10.845
"29652","female",447.747,7.516
"29652","male",438.953,11.095
