"stock","sex","mean","sd"
"25180","female",870091.475,7299.687
"25180","male",678718.412,16989.718
"25182","female",865257.981,22256.348
"25182","male",696060.358,21931.575
"25190","female",991983.44,29042.551
"25190","male",782047.761,23605.889
"25192","female",1104703.721,77915.949
"25192","male",930557.074,38796.074
"25198","female",1046122.032,59916.573
"25198","male",832713.737,40293.809
"25201","female",1126119.858,30189.264
"25201","male",884799.826,30243.034
"25203","female",1166201.655,26425.609
"25203","male",895480.7,19796.522
"28135","female",990296.872,64520.421
"28135","male",777741.452,77200.832
"28141","female",1095042.097,29925.326
"28141","male",848855.337,20860.385
"28153","female",1185169.227,24726.172
"28153","male",931372.761,19342.783
"28173","female",1108755.167,27795.752
"28173","male",876956.866,36839.129
"28180","female",1072835.255,30200.112
"28180","male",790670.991,51753.771
"28191","female",1169254.253,35100.772
"28191","male",951621.199,29972.493
"28196","female",1108141.212,23667.478
"28196","male",880160.827,20876.221
"28197","female",1118225.222,61159.496
"28197","male",873294.382,48256.12
"28198","female",1081674.849,23188.11
"28198","male",822871.206,32527.313
"28247","female",1056183.639,15368.003
"28247","male",816219.149,18392.592
"28248","female",1088997.341,28251.691
"28248","male",911521.032,28875.726
"28258","female",1053332.033,38988.795
"28258","male",846294.439,31485.764
"29652","female",974250.825,30925.084
"29652","male",775110.329,24885.482
