"stock","sex","mean","sd"
"25180","female",151.098,2.623
"25180","male",124.71,3.866
"25182","female",139.727,3.561
"25182","male",116.435,2.633
"25190","female",158.432,3.921
"25190","male",131.14,5.724
"25192","female",160.694,5.416
"25192","male",145.34,3.319
"25198","female",148.542,4.485
"25198","male",134.764,4.226
"25201","female",184.511,5.499
"25201","male",153.378,3.649
"25203","female",181.895,2.632
"25203","male",161.224,4.413
"28135","female",168.08,3.953
"28135","male",149.104,2.955
"28141","female",168.521,2.763
"28141","male",140.978,3.12
"28153","female",175.574,3.176
"28153","male",148.592,3.391
"28173","female",177.832,4.715
"28173","male",152.191,4.646
"28180","female",187.379,4.818
"28180","male",160.579,5.917
"28191","female",155.12,2.536
"28191","male",141.184,4.293
"28196","female",194.546,4.977
"28196","male",166.805,3.961
"28197","female",164.382,3.024
"28197","male",151.265,3.826
"28198","female",178.797,3.015
"28198","male",141.543,3.924
"28247","female",163.46,4.837
"28247","male",149.276,3.848
"28248","female",157.694,4.363
"28248","male",140.876,5.762
"28258","female",167.831,4.458
"28258","male",144.581,3.965
"29652","female",154.861,2.093
"29652","male",135.186,2.902
