"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"TT * O2 + TT * sex + TT * CA + O2 * CA",10,-112.66735488647,0,1,0.92296365988529,67.691702134593,0.92296365988529
"TT * O2 + TT * sex * O2 + TT * O2 * CA",13,-107.069059189739,5.59829569673103,0.0608619041047409,0.0561733257600992,68.8678629282028,0.979136985645389
"TT * O2 + TT * sex * O2 + TT * O2 * CA + TT * O2 * IOD",17,-103.328335319648,9.3390195668222,0.00937686509532371,0.0086545057266306,72.799302794959,0.987791491372019
"TT * O2 + TT * sex * O2",9,-102.26090517213,10.4064497143394,0.00549880294294375,0.00507519528920736,61.228013561675,0.992866686661227
"TT * O2 + TT * CA * O2",9,-101.85372159988,10.8136332865898,0.00448589771852327,0.0041403205761593,61.0244217755498,0.997007007237386
"TT * O2",5,-98.3219493547055,14.3454055317644,0.00076724623939642,0.000708140397146545,54.5098118866551,0.997715147634533
"TT * O2 + TT * sex * O2 + TT * O2 * CA + TT * O2 * FM",17,-98.2780690313319,14.389285855138,0.000750596054627357,0.000692772881674324,70.2741696508011,0.998407920516207
"TT * O2 + TT * sex * O2 + TT * O2 * IOD",13,-97.8732557953248,14.7940990911451,0.000613058897696516,0.000565831083943218,64.2699612309957,0.99897375160015
"TT * O2 + TT * sex * O2 + TT * O2 * CA + TT * O2 * CN",17,-97.3170963530979,15.350258533372,0.000464230544175537,0.000428467922082794,69.7936833116841,0.999402219522233
"TT * O2 + TT * sex * O2 + TT * O2 * CA",13,-96.2460757624559,16.421279124014,0.000271746866728595,0.000250812482678184,63.4563712145613,0.999653032004911
"TT * O2 + TT * sex * O2 + TT * O2 * CA",13,-95.6216958533724,17.0456590330975,0.00019887590582948,0.000183555233907379,63.1441812600196,0.999836587238819
"TT * O2 + TT * IOD * O2",9,-94.0771329787333,18.5902219077366,9.18723031925547e-05,8.47947971966913e-05,57.1361274649764,0.999921382036015
"TT * O2 + TT * FM * O2",9,-92.5848348118662,20.0825200746037,4.35648451257929e-05,4.02087688996376e-05,56.3899783815428,0.999961590804915
"TT * O2 + TT * CN * O2",9,-92.4653597784086,20.2019951080613,4.1038596582034e-05,3.787713329791e-05,56.330240864814,0.999999467938213
"TT",3,-83.9346732941988,28.7326815922711,5.76471003414402e-07,5.32061787129101e-07,45.103700283463,1
