"stock","genotype","sex","age","plate","well","ws","fw","iod","cell.area","cell.number","fresh.mass.z","iod.z","wing.area.z","cell.number.z","cell.area.z"
"28197","DGRP-440","female",5,"28197","B1",1187411.47833333,1.35,488.617,160.350918367347,7405.08062207102,0.843785730514217,0.425789598035271,1.33805497706402,1.94984741591172,-0.441561889177767
"28248","DGRP-849","female",5,"28248","B1",1084972.699,1.54,477.687333333333,153.759921568627,7056.27765630555,1.76767608148671,-0.0069779231004845,0.242086753890335,1.27876759072644,-0.900884341687645
"25180","DGRP-313","female",5,"25180","B10",874191.674333333,1.07,425.040666666667,151.383865384615,5774.66873442759,-0.517736891971568,-2.09155818746287,-2.01300947613175,-1.18698521433444,-1.06647021391165
"28191","DGRP-385","female",5,"28191","B10",1137677.98233333,1.17,470.164,154.041,7385.55308218807,-0.0314788125123598,-0.304869379138586,0.805968089675653,1.91227738544427,-0.8812961612669
"28197","DGRP-440","female",5,"28197","B10",1136139.89566667,1.3,473.111,163.6225625,6943.66277063206,0.600656690784612,-0.18818092708573,0.789512464939426,1.06210206546298,-0.213563051878747
"28247","DGRP-843","female",5,"28247","B10",1053257.602,1.47,512.714333333333,161.143224489796,6536.15816200014,1.42729542586527,1.37993975930718,-0.0972255527681455,0.278083154033249,-0.386346570096964
"25180","DGRP-313","female",5,"25180","B11",873463.8,1.13,424.211,153.824725490196,5678.30559889847,-0.225982044296043,-2.12440939854303,-2.02079683112551,-1.37238316817142,-0.896368196846987
"28191","DGRP-385","female",5,"28191","B11",1137080.81466667,1.27,477.355333333333,157.12182,7236.93764918626,0.45477926694685,-0.0201236869557772,0.799579134332516,1.62634857007476,-0.666595738651568
"28197","DGRP-440","female",5,"28197","B11",1133615.519,1.48,474.732333333333,164.731625,6881.59009540518,1.47592123381119,-0.123983140547446,0.762504757233451,0.942677278037163,-0.136273178579813
"28247","DGRP-843","female",5,"28247","B11",1089853.23466667,1.65,505.691,161.143224489796,6763.25820162348,2.30255996889184,1.10184614040054,0.2943024483524,0.715012509136484,-0.386346570096964
"25180","DGRP-313","female",5,"25180","B12",859507.675666667,1.09,437.277,154.86737254902,5549.95969467106,-0.420485276079726,-1.60705231862358,-2.17011009791312,-1.61931440278165,-0.823706774184143
"28247","DGRP-843","female",5,"28247","B12",1057580.11533333,1.15,538.709666666667,171.652565217391,6161.16697116614,-0.128730428404202,2.40924251033017,-0.0509800070050595,-0.443381533741532,0.346042824811909
"25180","DGRP-313","female",5,"25180","B2",878655.451666667,1.04,439.789,150.363442307692,5843.54440269233,-0.663614315809331,-1.5075879848751,-1.9652525803107,-1.05447180144764,-1.13758286114901
"28191","DGRP-385","female",5,"28191","B2",1169715.396,1.13,486.123666666667,154.041,7593.53286462695,-0.225982044296043,0.327064383539711,1.14872878596517,2.31242030204722,-0.8812961612669
"28247","DGRP-843","female",5,"28247","B2",1049250.636,1.56,515.297666666667,167.441489361702,6266.37185323549,1.86492769737856,1.48222858448645,-0.140095132393335,-0.240972492543159,0.0525755771695138
"28248","DGRP-849","female",5,"28248","B2",1051115.03233333,1.29,473.394666666667,157.3729,6679.1361939275,0.552030882838691,-0.176948954153133,-0.120148397865364,0.553165885800112,-0.649098130186856
"25180","DGRP-313","female",5,"25180","B3",862601.442,1.13,394.455666666667,148.020018867925,5827.59986518907,-0.225982044296043,-3.3025918847946,-2.13701062510288,-1.08514831079688,-1.30089457779738
"28191","DGRP-385","female",5,"28191","B3",1150593.454,1.09,479.333666666667,151.596692307692,7589.83218225281,-0.420485276079726,0.0582097552944125,0.944147660206369,2.3053003703825,-1.05163843849843
"28197","DGRP-440","female",5,"28197","B3",1160419.557,1.26,490.023,167.103893617021,6944.29993151158,0.406153459000929,0.481461116048952,1.04927480752028,1.06332793179329,0.0290487404649512
"28247","DGRP-843","female",5,"28247","B3",1070306.17733333,1.4,539.359333333333,167.441489361702,6392.12050378559,1.08691477024382,2.43496650004296,0.0851731143900565,0.000961753179933591,0.0525755771695138
"28248","DGRP-849","female",5,"28248","B3",1126389.89733333,1.17,481.440333333333,151.041519230769,7457.48522042059,-0.0314788125123598,0.141624642408293,0.685199543418109,2.05067129687316,-1.0903281036655
"25180","DGRP-313","female",5,"25180","B4",867812.280333333,1.14,428.263666666667,147.526396226415,5882.42038395261,-0.177356236350123,-1.96394132931345,-2.08126110068845,-0.979676317267048,-1.33529483154304
"28191","DGRP-385","female",5,"28191","B4",1254553.328,1.29,477.409666666667,157.12182,7984.59009703426,0.552030882838691,-0.0179723219874649,2.05638971473532,3.06479526705195,-0.666595738651568
